<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,2"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,1.63"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,IFNGR1,NM_000416.2,1082"
"Endogenous,INHBA,NM_002192.2,1514"
"Endogenous,WNT5B,NM_030775.2,113"
"Endogenous,CXCL5,NM_002994.4,16"
"Endogenous,SOX10,NM_006941.3,41"
"Endogenous,EGR1,NM_001964.2,604"
"Endogenous,STAT4,NM_001243835.1,121"
"Endogenous,IFIT3,NM_001031683.3,1164"
"Endogenous,GMIP,NM_001288998.1,101"
"Endogenous,ARNT2,NM_014862.3,575"
"Endogenous,UBE2C,NM_007019.2,834"
"Endogenous,CHUK,NM_001278.4,881"
"Endogenous,GHR,NM_000163.2,1005"
"Endogenous,TPI1,NM_000365.5,5671"
"Endogenous,HAVCR2,NM_032782.3,585"
"Endogenous,GOT2,NM_002080.3,1758"
"Endogenous,PIK3CA,NM_006218.2,404"
"Endogenous,TNFSF9,NM_003811.3,24"
"Endogenous,IDO1,NM_002164.5,151"
"Endogenous,APOE,NM_000041.2,7712"
"Endogenous,LILRB2,NM_001278405.1,124"
"Endogenous,PARP4,NM_006437.3,1055"
"Endogenous,PFKM,NM_000289.5,357"
"Endogenous,THY1,NM_006288.3,3022"
"Endogenous,SAMD9,NM_017654.3,1142"
"Endogenous,TGFB1,NM_000660.4,2771"
"Endogenous,CD8A,NM_001768.6,184"
"Endogenous,SELE,NM_000450.2,107"
"Endogenous,CDKN2B,NM_004936.3,448"
"Endogenous,CD5,NM_001346456.1,87"
"Endogenous,HLA-A,NM_002116.7,13803"
"Endogenous,FZD8,NM_031866.1,131"
"Endogenous,BCL2L1,NM_001191.3,1289"
"Endogenous,TNFRSF9,NM_001561.5,50"
"Endogenous,XCL1/2,NM_002995.2,72"
"Endogenous,MAGEA4,NM_001011548.1,14"
"Endogenous,PMS2,NM_000535.6,453"
"Endogenous,KLRD1,NM_002262.3,88"
"Endogenous,NFATC2,NM_173091.2,473"
"Endogenous,VEGFB,NM_003377.3,736"
"Endogenous,CDC20,NM_001255.1,132"
"Endogenous,OTOA,NM_001161683.1,22"
"Endogenous,TPSAB1/B2,NM_003294.3,5853"
"Endogenous,P4HA1,NM_000917.3,336"
"Endogenous,P2RY13,NM_023914.2,132"
"Endogenous,EXO1,NM_006027.3,321"
"Endogenous,CD70,NM_001252.3,95"
"Endogenous,DDB2,NM_000107.2,705"
"Endogenous,NDUFA4L2,NM_020142.3,137"
"Endogenous,IFITM1,NM_003641.3,12843"
"Endogenous,IFNAR1,NM_000629.2,746"
"Endogenous,TREM1,NM_001242589.2,46"
"Endogenous,CXCL13,NM_006419.2,330"
"Endogenous,TWIST2,NM_001271893.3,15"
"Endogenous,HLA-DRB1,NM_002124.3,5813"
"Endogenous,FGFR1,NM_001174064.1,995"
"Endogenous,TBXAS1,NM_001061.4,428"
"Endogenous,NCR1,NM_001145457.2,31"
"Endogenous,SOX11,NM_003108.3,118"
"Endogenous,TLR2,NM_001318787.1,433"
"Endogenous,TWF1,NM_002822.4,2351"
"Endogenous,CCL5,NM_002985.2,421"
"Endogenous,ITGAL,NM_002209.2,320"
"Endogenous,MYCT1,NM_025107.2,65"
"Endogenous,CD96,NM_005816.4,113"
"Endogenous,PROM1,NM_001145847.1,24"
"Endogenous,OASL,NM_003733.2,481"
"Endogenous,IFNG,NM_000619.2,20"
"Endogenous,BATF3,NM_018664.2,112"
"Endogenous,EZH2,NM_004456.4,388"
"Endogenous,IRF5,NM_002200.3,225"
"Endogenous,PCK2,NM_001018073.2,746"
"Endogenous,EPCAM,NM_002354.2,783"
"Endogenous,CD19,NM_001770.4,54"
"Endogenous,GBP4,NM_052941.4,277"
"Endogenous,MSH6,NM_000179.2,241"
"Endogenous,TNFRSF11B,NM_002546.3,37"
"Endogenous,NOTCH1,NM_017617.3,626"
"Endogenous,CASP9,XM_011542270.1,157"
