code_class,gene,type,mean_count,log2_transformed
Endogenous,COL4A5,post,230.5,7.848622940429338
Endogenous,FCAR,pre,16.8,4.070389327891398
Endogenous,FCAR,post,10.8,3.4329594072761065
Endogenous,BRCA2,pre,126.6,6.984133594540979
Endogenous,BRCA2,post,69.5,6.118941072723508
Endogenous,SFRP4,pre,1473.8,10.525325043433478
Endogenous,SFRP4,post,609.2,9.25077213159993
Endogenous,TLR3,pre,212.6,7.731997786643742
Endogenous,TLR3,post,122.7,6.938991438775543
Endogenous,IL2RG,pre,205,7.679480099505446
Endogenous,IL2RG,post,51,5.672425341971495
Endogenous,CD84,pre,217.5,7.764871590736091
Endogenous,CD84,post,172.2,7.427941332509482
Endogenous,HLA-DPA1,pre,1671,10.706496018061188
Endogenous,HLA-DPA1,post,1802,10.815383295813538
Endogenous,RBL2,pre,1478.8,10.53021123329988
Endogenous,RBL2,post,932.5,9.8649599151426
Endogenous,CCL18,pre,144.8,7.177917792195843
Endogenous,CCL18,post,155.8,7.283551423174307
Endogenous,IRF3,pre,515,9.00842862207058
Endogenous,IRF3,post,143,7.159871336778389
Endogenous,TNFRSF8,pre,9.6,3.263034405833794
Endogenous,TNFRSF8,post,11,3.4594316186372973
Endogenous,KIR3DL2,pre,7.3,2.867896463992655
Endogenous,KIR3DL2,post,10.6,3.4059923596758366
Endogenous,TNFSF13,pre,232.4,7.8604662585171665
Endogenous,TNFSF13,post,70.5,6.139551352398794
Endogenous,CLECL1,pre,69,6.108524456778169
Endogenous,CLECL1,post,44,5.459431618637297
Endogenous,TNFRSF10B,pre,202.8,7.663913842115978
Endogenous,TNFRSF10B,post,61.8,5.949534933017012
Endogenous,MAGEC2,pre,18.5,4.20945336562895
Endogenous,MAGEC2,post,11.2,3.4854268271702415
Endogenous,CDKN2A,pre,130.2,7.024585638278273
Endogenous,CDKN2A,post,134.5,7.071462362556624
Endogenous,ADM,pre,64,6
Endogenous,ADM,post,78,6.285402218862249
Endogenous,PNOC,pre,31.4,4.972692654004264
Endogenous,PNOC,post,38.2,5.255500733148386
Endogenous,CD247,pre,41,5.357552004618084
Endogenous,CD247,post,40,5.321928094887363
Endogenous,PTPRC,pre,160.4,7.325530331567558
Endogenous,PTPRC,post,112.3,6.811214117513239
Endogenous,OAS3,pre,709.2,9.470048726011326
