code_class,gene,log2_fold_change
Endogenous,TAP2,-1.7793118848758012
Endogenous,ICOS,-0.8527237375028879
Endogenous,TNFSF12,-1.5806546592376927
Endogenous,IFITM2,-0.9084035703011967
Endogenous,DNMT1,-1.4510771562955773
Endogenous,TNFSF8,0.2642125970310752
Endogenous,TGFB2,-0.4399571334009258
Endogenous,TMEM140,-1.162056758108973
Endogenous,COL11A1,2.4897604158713533
Endogenous,GIMAP6,-0.5434432312828892
Endogenous,IRF4,-1.1501617466208824
Endogenous,BNIP3,-0.5089749262553611
Endogenous,FPR3,-0.6449734412836949
Endogenous,HLA-C,-2.401308012989913
Endogenous,VEGFC,-0.8611722953026832
Endogenous,SIGLEC1,-1.3905030921591452
Endogenous,BID,-1.0462354661826208
Endogenous,MAPK10,-0.6583835701905254
Endogenous,FCN1,-0.19539568895843065
Endogenous,H2AFX,-1.1749034955551287
Endogenous,CBLC,-0.6078369669737429
Endogenous,CASP3,-1.224123309415564
Endogenous,PIAS4,-1.810966175609983
Endogenous,HLA-DRA,-0.6475421722383012
Endogenous,ULBP2,-0.5215371205795225
Endogenous,CASP1,-1.1503048059730245
Endogenous,MS4A2,-0.6516964896883404
Endogenous,HSD11B1,-0.3245252063734016
Endogenous,GAS1,-0.38278330027421703
Endogenous,FUT4,-1.0324214776923775
Endogenous,CSF1,-1.8485095002860095
Endogenous,FAM30A,-0.9338576432087878
Endogenous,ITPK1,0.43582597194998873
Endogenous,BCAT1,0.3419195700748285
Endogenous,CD80,0.056583528366367514
