<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01003-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,7"
"FovCount,194"
"FovCounted,192"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.38"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,NOTCH2,NM_024408.3,423"
"Endogenous,NFKB2,NM_001077494.3,132"
"Endogenous,IL33,NM_033439.3,40"
"Endogenous,TREM2,NM_018965.3,194"
"Endogenous,LAMC2,NM_005562.2,19"
"Endogenous,AQP9,NM_001320635.1,23"
"Endogenous,PRKCA,NM_002737.2,30"
"Endogenous,TSLP,NM_033035.4,17"
"Endogenous,HLA-DOB,NM_002120.3,180"
"Endogenous,ANGPTL4,NM_001039667.2,16"
"Endogenous,TNFRSF25,NM_148970.1,65"
"Endogenous,MS4A4A,NM_001243266.1,559"
"Endogenous,CLEC5A,NM_013252.2,17"
"Endogenous,ITGAM,NM_000632.3,40"
"Endogenous,MMP9,NM_004994.2,53"
"Endogenous,CD7,NM_006137.6,19"
"Endogenous,VHL,NM_198156.1,75"
"Endogenous,OLFML2B,NM_015441.1,135"
"Endogenous,IL6,NM_000600.3,24"
"Endogenous,TNFRSF1A,NM_001065.2,235"
"Endogenous,DKK1,NM_012242.2,12"
"Endogenous,FANCA,NM_001018112.1,13"
"Endogenous,TNF,NM_000594.3,72"
"Endogenous,LTB,NM_002341.1,76"
"Endogenous,PPARGC1B,NM_001172699.1,29"
"Endogenous,RPS6KB1,NM_001272042.1,113"
"Endogenous,CD38,NM_001775.2,171"
"Endogenous,DTX3L,NM_138287.3,527"
"Endogenous,TMEM173,NM_198282.1,273"
"Endogenous,NEIL1,NM_024608.2,61"
"Endogenous,HELLS,NM_001289067.1,60"
"Endogenous,TGFBR1,NM_001130916.2,594"
"Endogenous,MB21D1,NM_138441.2,197"
"Endogenous,CCR2,NM_001123041.2,228"
