<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,10"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.41"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CXCR6,NM_006564.1,33"
"Endogenous,DLL1,NM_005618.3,38"
"Endogenous,OAS1,NM_001032409.1,428"
"Endogenous,HLA-DQB1,NM_002123.3,128"
"Endogenous,ROBO4,NM_019055.5,53"
"Endogenous,NFKB1,NM_003998.3,314"
"Endogenous,IFI27,NM_005532.3,2884"
"Endogenous,HLA-DMB,NM_002118.3,566"
"Endogenous,CDKN1C,NM_000076.2,192"
"Endogenous,CEP55,NM_018131.3,24"
"Endogenous,ARG1,NM_000045.3,23"
"Endogenous,PLOD2,NM_182943.2,404"
"Endogenous,LAIR1,NM_001289023.2,89"
"Endogenous,SHC2,NM_012435.2,183"
"Endogenous,STAT3,NM_003150.3,1339"
"Endogenous,CD45RO,NM_080921.3,292"
"Endogenous,CD2,NM_001767.3,165"
"Endogenous,IL7R,NM_002185.3,68"
"Endogenous,FLNB,NM_001164319.1,370"
"Endogenous,PSMB5,NM_001130725.1,526"
"Endogenous,SLC1A5,NM_001145144.1,388"
"Endogenous,RICTOR,NM_001285439.1,399"
"Endogenous,ZAP70,NM_001079.3,47"
"Endogenous,TNFAIP6,NM_007115.3,381"
"Endogenous,BTLA,NM_001085357.1,11"
"Endogenous,RELA,NM_021975.3,135"
"Endogenous,MMP7,NM_002423.3,450"
"Endogenous,TCF3,NM_003200.3,262"
"Endogenous,IRF8,NM_002163.2,149"
"Endogenous,NOS2,NM_000625.4,12"
"Endogenous,A2M,NM_000014.4,2747"
"Endogenous,CCL20,NM_001130046.1,19"
"Endogenous,MKI67,NM_002417.2,121"
"Endogenous,IFNGR1,NM_000416.2,538"
"Endogenous,INHBA,NM_002192.2,464"
"Endogenous,WNT5B,NM_030775.2,24"
"Endogenous,CXCL5,NM_002994.4,8"
"Endogenous,SOX10,NM_006941.3,36"
"Endogenous,EGR1,NM_001964.2,236"
"Endogenous,STAT4,NM_001243835.1,71"
"Endogenous,IFIT3,NM_001031683.3,327"
"Endogenous,GMIP,NM_001288998.1,22"
"Endogenous,ARNT2,NM_014862.3,153"
"Endogenous,UBE2C,NM_007019.2,94"
"Endogenous,CHUK,NM_001278.4,207"
"Endogenous,GHR,NM_000163.2,482"
"Endogenous,TPI1,NM_000365.5,960"
"Endogenous,HAVCR2,NM_032782.3,248"
"Endogenous,GOT2,NM_002080.3,640"
"Endogenous,PIK3CA,NM_006218.2,248"
"Endogenous,TNFSF9,NM_003811.3,14"
"Endogenous,IDO1,NM_002164.5,44"
"Endogenous,APOE,NM_000041.2,2491"
"Endogenous,LILRB2,NM_001278405.1,55"
"Endogenous,PARP4,NM_006437.3,493"
"Endogenous,PFKM,NM_000289.5,154"
"Endogenous,THY1,NM_006288.3,1285"
"Endogenous,SAMD9,NM_017654.3,375"
"Endogenous,TGFB1,NM_000660.4,953"
"Endogenous,CD8A,NM_001768.6,61"
"Endogenous,SELE,NM_000450.2,77"
"Endogenous,CDKN2B,NM_004936.3,233"
"Endogenous,CD5,NM_001346456.1,21"
"Endogenous,HLA-A,NM_002116.7,4491"
"Endogenous,FZD8,NM_031866.1,45"
"Endogenous,BCL2L1,NM_001191.3,462"
"Endogenous,TNFRSF9,NM_001561.5,47"
"Endogenous,XCL1/2,NM_002995.2,31"
"Endogenous,MAGEA4,NM_001011548.1,11"
"Endogenous,PMS2,NM_000535.6,255"
"Endogenous,KLRD1,NM_002262.3,27"
"Endogenous,NFATC2,NM_173091.2,176"
"Endogenous,VEGFB,NM_003377.3,215"
"Endogenous,CDC20,NM_001255.1,29"
"Endogenous,OTOA,NM_001161683.1,17"
"Endogenous,TPSAB1/B2,NM_003294.3,1180"
"Endogenous,P4HA1,NM_000917.3,215"
"Endogenous,P2RY13,NM_023914.2,52"
"Endogenous,EXO1,NM_006027.3,36"
"Endogenous,CD70,NM_001252.3,45"
"Endogenous,DDB2,NM_000107.2,187"
"Endogenous,NDUFA4L2,NM_020142.3,30"
"Endogenous,IFITM1,NM_003641.3,1606"
"Endogenous,IFNAR1,NM_000629.2,329"
"Endogenous,TREM1,NM_001242589.2,28"
"Endogenous,CXCL13,NM_006419.2,25"
"Endogenous,TWIST2,NM_001271893.3,10"
"Endogenous,HLA-DRB1,NM_002124.3,1407"
"Endogenous,FGFR1,NM_001174064.1,135"
"Endogenous,TBXAS1,NM_001061.4,210"
"Endogenous,NCR1,NM_001145457.2,21"
"Endogenous,SOX11,NM_003108.3,61"
"Endogenous,TLR2,NM_001318787.1,224"
"Endogenous,TWF1,NM_002822.4,735"
"Endogenous,CCL5,NM_002985.2,124"
"Endogenous,ITGAL,NM_002209.2,72"
"Endogenous,MYCT1,NM_025107.2,44"
"Endogenous,CD96,NM_005816.4,47"
"Endogenous,PROM1,NM_001145847.1,50"
"Endogenous,OASL,NM_003733.2,53"
"Endogenous,IFNG,NM_000619.2,14"
"Endogenous,BATF3,NM_018664.2,39"
"Endogenous,EZH2,NM_004456.4,79"
"Endogenous,IRF5,NM_002200.3,38"
"Endogenous,PCK2,NM_001018073.2,150"
"Endogenous,EPCAM,NM_002354.2,304"
"Endogenous,CD19,NM_001770.4,33"
"Endogenous,GBP4,NM_052941.4,120"
"Endogenous,MSH6,NM_000179.2,93"
"Endogenous,TNFRSF11B,NM_002546.3,23"
"Endogenous,NOTCH1,NM_017617.3,108"
"Endogenous,CASP9,XM_011542270.1,52"
"Endogenous,RAD51C,NM_058216.2,50"
"Endogenous,HLA-DMA,NM_006120.3,706"
"Endogenous,SFRP1,NM_003012.3,182"
"Endogenous,MAGEA1,NM_004988.4,32"
"Endogenous,ENTPD1,NM_001098175.1,396"
"Endogenous,ROCK1,NM_005406.2,126"
"Endogenous,FCGR2A,NM_021642.3,535"
"Endogenous,NGFR,NM_002507.3,66"
"Endogenous,ALDOC,NM_005165.2,89"
"Endogenous,CCNE1,NM_001238.1,48"
"Endogenous,ITGAX,NM_000887.4,289"
"Endogenous,BLM,NM_000057.3,47"
"Endogenous,MLANA,NM_005511.1,26"
"Endogenous,FCGR1A,NM_000566.3,121"
"Endogenous,CD47,NM_001777.3,559"
"Endogenous,CSF2,NM_000758.3,23"
"Endogenous,CDH5,NM_001795.3,102"
"Endogenous,SLC7A5,NM_003486.6,76"
"Endogenous,GIMAP4,NM_018326.2,286"
"Endogenous,HIF1A,NM_181054.2,814"
"Endogenous,CDK2,NM_001290230.1,196"
"Endogenous,PDCD1,NM_005018.1,14"
"Endogenous,ATF3,NM_001674.3,33"
"Endogenous,TIE1,NM_005424.4,109"
"Endogenous,CD44,NM_001001392.1,523"
"Endogenous,ALDOA,NM_000034.3,1484"
"Endogenous,FAS,NM_000043.3,65"
"Endogenous,MRE11,NM_001330347.1,287"
"Endogenous,IL10,NM_000572.2,19"
"Endogenous,BMP2,NM_001200.3,38"
"Endogenous,BAX,NM_004324.3,275"
"Endogenous,EIF5AL1,NM_001099692.1,8"
"Endogenous,KIT,NM_000222.2,292"
"Endogenous,CDK6,NM_001145306.1,92"
"Endogenous,SPIB,NM_003121.3,16"
"Endogenous,PFKFB3,NM_004566.3,85"
"Endogenous,CXCL12,NM_199168.3,94"
"Endogenous,CSF3,NM_000759.3,15"
"Endogenous,KIR2DL3,NM_015868.2,17"
"Endogenous,CD40,NM_001250.5,98"
"Endogenous,IRF1,NM_002198.2,243"
"Endogenous,MGMT,NM_002412.3,228"
"Endogenous,GLUD1,NM_005271.2,582"
"Endogenous,IFI35,NM_005533.4,181"
"Endogenous,PF4,NM_002619.3,22"
"Endogenous,GPSM3,NM_001276501.1,88"
"Endogenous,SLC2A1,NM_006516.2,32"
"Endogenous,IL2,NM_000586.2,18"
"Endogenous,SNAI1,NM_005985.3,82"
"Endogenous,CTNNB1,NM_001098209.1,3255"
"Endogenous,NOTCH2,NM_024408.3,589"
"Endogenous,NFKB2,NM_001077494.3,135"
"Endogenous,IL33,NM_033439.3,60"
"Endogenous,TREM2,NM_018965.3,349"
"Endogenous,LAMC2,NM_005562.2,46"
"Endogenous,AQP9,NM_001320635.1,31"
"Endogenous,PRKCA,NM_002737.2,47"
"Endogenous,TSLP,NM_033035.4,26"
"Endogenous,HLA-DOB,NM_002120.3,34"
"Endogenous,ANGPTL4,NM_001039667.2,44"
"Endogenous,TNFRSF25,NM_148970.1,70"
"Endogenous,MS4A4A,NM_001243266.1,326"
"Endogenous,CLEC5A,NM_013252.2,80"
"Endogenous,ITGAM,NM_000632.3,37"
"Endogenous,MMP9,NM_004994.2,28"
"Endogenous,CD7,NM_006137.6,24"
"Endogenous,VHL,NM_198156.1,109"
"Endogenous,OLFML2B,NM_015441.1,341"
"Endogenous,IL6,NM_000600.3,16"
"Endogenous,TNFRSF1A,NM_001065.2,516"
"Endogenous,DKK1,NM_012242.2,12"
"Endogenous,FANCA,NM_001018112.1,33"
"Endogenous,TNF,NM_000594.3,65"
"Endogenous,LTB,NM_002341.1,38"
"Endogenous,PPARGC1B,NM_001172699.1,30"
"Endogenous,RPS6KB1,NM_001272042.1,166"
"Endogenous,CD38,NM_001775.2,19"
"Endogenous,DTX3L,NM_138287.3,569"
"Endogenous,TMEM173,NM_198282.1,249"
"Endogenous,NEIL1,NM_024608.2,109"
"Endogenous,HELLS,NM_001289067.1,110"
"Endogenous,TGFBR1,NM_001130916.2,850"
"Endogenous,MB21D1,NM_138441.2,91"
"Endogenous,CCR2,NM_001123041.2,46"
