treatment,code_class,gene,accesion_number,lower_bound_pre_count,upper_bound_pre_count,lower_bound_post_count,upper_bound_post_count,mean_pre,mean_post,count_value,log2_transformed
0,Endogenous,CCND2,NM_001759.2,-366,1498,-368,1216,447,329.8,512,9
0,Endogenous,CCND2,NM_001759.2,-366,1498,-368,1216,447,329.8,333,8.379378367071261
1,Endogenous,CCND2,NM_001759.2,-366,1498,-368,1216,447,329.8,226,7.820178962415188
1,Endogenous,CCND2,NM_001759.2,-366,1498,-368,1216,447,329.8,NA,NA
1,Endogenous,CCND2,NM_001759.2,-366,1498,-368,1216,447,329.8,349,8.447083226209653
1,Endogenous,CCND2,NM_001759.2,-366,1498,-368,1216,447,329.8,122,6.930737337562887
1,Endogenous,CCND2,NM_001759.2,-366,1498,-368,1216,447,329.8,622,9.280770770130603
0,Endogenous,PDZK1IP1,NM_005764.3,-610.5,1089.5,6,46,267,23,27,4.754887502163468
0,Endogenous,PDZK1IP1,NM_005764.3,-610.5,1089.5,6,46,267,23,452,8.820178962415188
0,Endogenous,PDZK1IP1,NM_005764.3,-610.5,1089.5,6,46,267,23,798,9.640244936222345
0,Endogenous,PDZK1IP1,NM_005764.3,-610.5,1089.5,6,46,267,23,27,4.754887502163468
0,Endogenous,PDZK1IP1,NM_005764.3,-610.5,1089.5,6,46,267,23,31,4.954196310386875
1,Endogenous,PDZK1IP1,NM_005764.3,-610.5,1089.5,6,46,267,23,17,4.087462841250339
1,Endogenous,PDZK1IP1,NM_005764.3,-610.5,1089.5,6,46,267,23,21,4.392317422778761
1,Endogenous,PDZK1IP1,NM_005764.3,-610.5,1089.5,6,46,267,23,NA,NA
1,Endogenous,PDZK1IP1,NM_005764.3,-610.5,1089.5,6,46,267,23,31,4.954196310386875
1,Endogenous,PDZK1IP1,NM_005764.3,-610.5,1089.5,6,46,267,23,23,4.523561956057013
0,Endogenous,JAG2,NM_002226.4,-80,216,17.5,37.5,74.8,26,38,5.247927513443585
0,Endogenous,JAG2,NM_002226.4,-80,216,17.5,37.5,74.8,26,184,7.523561956057013
0,Endogenous,JAG2,NM_002226.4,-80,216,17.5,37.5,74.8,26,105,6.714245517666122
0,Endogenous,JAG2,NM_002226.4,-80,216,17.5,37.5,74.8,26,16,4
0,Endogenous,JAG2,NM_002226.4,-80,216,17.5,37.5,74.8,26,31,4.954196310386875
1,Endogenous,JAG2,NM_002226.4,-80,216,17.5,37.5,74.8,26,30,4.906890595608519
