code_class,name,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5
Endogenous,CD14,NM_001174105.1,88,213,627,415,88,88,114,74,111,153
Endogenous,IL18,NM_001243211.1,65,34,81,170,65,127,297,154,96,125
Endogenous,CLEC14A,NM_175060.1,24,95,424,226,24,47,96,118,157,139
Endogenous,HMGB1,NM_002128.5,102,140,464,339,102,127,121,52,177,100
Endogenous,KIF2C,NM_006845.2,64,23,42,77,64,17,19,22,31,28
Endogenous,RNLS,NM_001031709.2,35,69,285,119,35,41,38,55,50,57
Endogenous,RPTOR,NM_001163034.1,126,99,564,385,126,109,63,55,143,112
Endogenous,CD68,NM_001251.2,109,66,471,1063,109,152,235,180,232,243
Endogenous,CCL13,NM_005408.2,9,16,31,21,9,7,8,12,11,16
Endogenous,CYBB,NM_000397.3,169,243,1446,1225,169,474,871,362,396,421
Endogenous,PLA2G2A,NM_000300.2,16,31,73,57,16,11,30,138,12,66
Endogenous,FGF13,NM_001139498.1,22,46,149,134,22,40,20,181,88,48
Endogenous,CNTFR,NM_147164.2,15,22,83,15,15,16,23,11,9,17
Endogenous,CD244,NM_001166663.1,17,11,32,17,17,20,23,15,18,21
Endogenous,CSF2RB,NM_000395.2,17,24,96,114,17,14,20,16,22,19
Endogenous,MAP3K7,NM_003188.3,278,389,1499,974,278,435,441,284,400,476
