code_class,gene,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5,lower_bound,upper_bound,mean_pre,mean_post
Endogenous,TNFSF4,NM_001297562.1,40,26,46,NA,NA,28,35,27,46,79,-51,157,41.8,40
Endogenous,CD274,NM_014143.3,31,15,103,NA,78,18,38,19,22,21,13.5,25.5,54.4,18.2
Endogenous,PRKACB,NM_182948.2,47,81,NA,214,301,68,99,NA,93,169,-118.5,413.5,135,133
Endogenous,IFIT2,NM_001547.4,164,31,292,NA,290,35,97,69,44,85,-40,160,177.4,55
Endogenous,PPARG,NM_005037.5,31,85,NA,NA,122,NA,80,78,71,95,52.5,120.5,76,86
Endogenous,PTEN,NM_000314.6,178,244,1111,NA,1017,232,185,248,260,345,92.5,496.5,550.2,267.2
Endogenous,FOXP3,NM_014009.3,20,25,48,NA,NA,24,34,26,29,22,21,29,32.8,24.2
Endogenous,SREBF1,NM_001005291.1,NA,10672,NA,7254,2081,773,1784,897,1612,803,-8873.5,16930.5,1825.7,4079.8
Endogenous,CD36,NM_001001548.2,NA,494,NA,1202,258,34,263,248,227,937,-785.5,1970.5,249.3,583
Endogenous,AXIN1,NM_181050.1,83,74,420,NA,477,65,48,55,44,51,26.5,102.5,214.4,61.2
Endogenous,KLRK1,NM_007360.3,19,19,84,76,150,27,97,27,39,47,-3,77,77.8,39.2
Endogenous,GBP1,NM_002053.2,108,22,273,NA,309,67,302,90,91,140,-42.5,249.5,216.6,79.8
Endogenous,CXCL11,NM_005409.4,175,16,19,NA,139,27,NA,102,76,124,-118.5,269.5,102.2,67.2
Endogenous,CXCL10,NM_001565.3,770,51,273,NA,976,190,1341,415,245,621,-456.5,1267.5,721,319.2
Endogenous,RIPK1,NM_003804.3,157,346,1310,NA,1476,296,293,244,357,345,221,421,718.6,307.8
Endogenous,REN,NM_000537.3,6,13,NA,14,11,9,5,3,8,6,-4.5,23.5,7.5,9
Endogenous,PRF1,NM_001083116.1,17,17,71,NA,74,12,26,15,19,25,0,40,41.4,17.2
Endogenous,EIF2AK2,NM_001135652.2,997,545,1445,NA,1500,416,433,317,637,733,-59.5,1208.5,1002.4,502.8
Endogenous,LIF,NM_002309.4,43,21,123,NA,125,34,37,17,39,50,-22.5,93.5,73.4,30.5
Endogenous,BRD3,NM_007371.3,225,295,2058,NA,2131,380,297,287,493,531,-59,885,1040.8,373.2
Endogenous,IGF2R,NM_000876.2,133,315,880,NA,650,184,195,182,274,225,-12.5,511.5,426.4,226.5
